"","x1","x2","zi1","zi2","total_count"
"560",0.055,0.595,0,3,3
"561",0.055,0.605,0,6,6
"562",0.055,0.615,0,5,5
"563",0.055,0.625,0,10,10
"564",0.055,0.635,0,7,7
"565",0.055,0.645,0,5,5
"566",0.055,0.655,0,4,4
"567",0.055,0.665,0,6,6
"568",0.055,0.675,0,12,12
"569",0.055,0.685,0,4,4
"570",0.055,0.695,0,6,6
"571",0.055,0.705,0,6,6
"572",0.055,0.715,0,10,10
"573",0.055,0.725,0,11,11
"574",0.055,0.735,0,5,5
"575",0.055,0.745,0,6,6
"576",0.055,0.755,0,5,5
"577",0.055,0.765,0,6,6
"578",0.055,0.775,0,5,5
"579",0.055,0.785,0,4,4
"580",0.055,0.795,0,3,3
"581",0.055,0.805,0,5,5
"582",0.055,0.815,0,2,2
"583",0.055,0.825,0,2,2
"584",0.055,0.835,0,5,5
"585",0.055,0.845,0,4,4
"586",0.055,0.855,0,8,8
"587",0.055,0.865,0,5,5
"588",0.055,0.875,0,8,8
"589",0.055,0.885,0,7,7
"590",0.055,0.895,0,6,6
"591",0.055,0.905,0,5,5
"592",0.055,0.915,0,6,6
"593",0.055,0.925,0,3,3
"594",0.055,0.935,0,4,4
"595",0.055,0.945,0,7,7
"596",0.055,0.955,0,1,1
"597",0.055,0.965,0,1,1
"598",0.055,0.975,0,5,5
"599",0.055,0.985,0,6,6
"600",0.055,0.995,0,5,5
"601",0.065,0.005,17,90,107
"602",0.065,0.015,5,84,89
"603",0.065,0.025,6,92,98
"604",0.065,0.035,2,79,81
"605",0.065,0.045,1,82,83
"606",0.065,0.055,1,67,68
"607",0.065,0.065,0,66,66
"608",0.065,0.075,0,71,71
"609",0.065,0.085,0,56,56
"610",0.065,0.095,0,58,58
"611",0.065,0.105,0,59,59
"612",0.065,0.115,0,43,43
"613",0.065,0.125,0,44,44
"614",0.065,0.135,0,45,45
"615",0.065,0.145,0,37,37
"616",0.065,0.155,0,43,43
"617",0.065,0.165,0,40,40
"618",0.065,0.175,0,34,34
"619",0.065,0.185,0,37,37
"620",0.065,0.195,0,29,29
"621",0.065,0.205,0,36,36
"622",0.065,0.215,0,26,26
"623",0.065,0.225,0,33,33
"624",0.065,0.235,0,29,29
"625",0.065,0.245,0,29,29
"626",0.065,0.255,0,26,26
"627",0.065,0.265,0,24,24
"628",0.065,0.275,0,22,22
"629",0.065,0.285,0,24,24
"630",0.065,0.295,0,18,18
"631",0.065,0.305,0,9,9
